REGIÃO GEOGRÁFICA;PAÍS;ANO;PRODUÇÃO DE PETRÓLEO
Américas Central e do Sul;Brasil;2012;2145
Américas Central e do Sul;Brasil;2013;2109,938141
Américas Central e do Sul;Brasil;2014;2341,371973
Américas Central e do Sul;Brasil;2015;2524,987068
Américas Central e do Sul;Brasil;2016;2607,41969
Américas Central e do Sul;Brasil;2017;2731,237613
Américas Central e do Sul;Brasil;2018;2690,961662
Américas Central e do Sul;Brasil;2019;2889,715185
Américas Central e do Sul;Brasil;2020;3030,270809
Américas Central e do Sul;Brasil;2021;2987,162464
